Date,Year,Month,Month_Name,Day,Winning_Number
2022-01-02,2022.0,1.0,January,2.0,71.0
2022-01-03,2022.0,1.0,January,3.0,53.0
2022-01-04,2022.0,1.0,January,4.0,11.0
2022-01-05,2022.0,1.0,January,5.0,81.0
2022-01-06,2022.0,1.0,January,6.0,33.0
2022-01-07,2022.0,1.0,January,7.0,77.0
2022-01-08,2022.0,1.0,January,8.0,39.0
2022-01-09,2022.0,1.0,January,9.0,47.0
2022-01-10,2022.0,1.0,January,10.0,54.0
2022-01-11,2022.0,1.0,January,11.0,77.0
2022-01-12,2022.0,1.0,January,12.0,76.0
2022-01-13,2022.0,1.0,January,13.0,28.0
2022-01-14,2022.0,1.0,January,14.0,38.0
2022-01-15,2022.0,1.0,January,15.0,72.0
2022-01-16,2022.0,1.0,January,16.0,31.0
2022-01-17,2022.0,1.0,January,17.0,54.0
2022-01-18,2022.0,1.0,January,18.0,38.0
2022-01-19,2022.0,1.0,January,19.0,58.0
2022-01-20,2022.0,1.0,January,20.0,46.0
2022-01-21,2022.0,1.0,January,21.0,18.0
2022-01-22,2022.0,1.0,January,22.0,49.0
2022-01-23,2022.0,1.0,January,23.0,41.0
2022-01-24,2022.0,1.0,January,24.0,3.0
2022-01-25,2022.0,1.0,January,25.0,71.0
2022-01-26,2022.0,1.0,January,26.0,41.0
2022-01-27,2022.0,1.0,January,27.0,24.0
2022-01-28,2022.0,1.0,January,28.0,94.0
2022-01-29,2022.0,1.0,January,29.0,38.0
2022-01-30,2022.0,1.0,January,30.0,2.0
2022-01-31,2022.0,1.0,January,31.0,99.0
2022-02-02,2022.0,2.0,February,2.0,56.0
2022-02-03,2022.0,2.0,February,3.0,17.0
2022-02-04,2022.0,2.0,February,4.0,8.0
2022-02-05,2022.0,2.0,February,5.0,63.0
2022-02-06,2022.0,2.0,February,6.0,86.0
2022-02-07,2022.0,2.0,February,7.0,67.0
2022-02-08,2022.0,2.0,February,8.0,40.0
2022-02-09,2022.0,2.0,February,9.0,7.0
2022-02-10,2022.0,2.0,February,10.0,38.0
2022-02-11,2022.0,2.0,February,11.0,25.0
2022-02-12,2022.0,2.0,February,12.0,3.0
2022-02-13,2022.0,2.0,February,13.0,58.0
2022-02-14,2022.0,2.0,February,14.0,92.0
2022-02-15,2022.0,2.0,February,15.0,26.0
2022-02-16,2022.0,2.0,February,16.0,98.0
2022-02-17,2022.0,2.0,February,17.0,15.0
2022-02-18,2022.0,2.0,February,18.0,44.0
2022-02-19,2022.0,2.0,February,19.0,24.0
2022-02-20,2022.0,2.0,February,20.0,77.0
2022-02-21,2022.0,2.0,February,21.0,29.0
2022-02-22,2022.0,2.0,February,22.0,42.0
2022-02-23,2022.0,2.0,February,23.0,43.0
2022-02-24,2022.0,2.0,February,24.0,82.0
2022-02-25,2022.0,2.0,February,25.0,44.0
2022-02-26,2022.0,2.0,February,26.0,59.0
2022-02-27,2022.0,2.0,February,27.0,85.0
2022-02-28,2022.0,2.0,February,28.0,86.0
2022-03-02,2022.0,3.0,March,2.0,92.0
2022-03-03,2022.0,3.0,March,3.0,66.0
2022-03-04,2022.0,3.0,March,4.0,59.0
2022-03-05,2022.0,3.0,March,5.0,30.0
2022-03-06,2022.0,3.0,March,6.0,69.0
2022-03-07,2022.0,3.0,March,7.0,53.0
2022-03-08,2022.0,3.0,March,8.0,50.0
2022-03-09,2022.0,3.0,March,9.0,64.0
2022-03-10,2022.0,3.0,March,10.0,12.0
2022-03-11,2022.0,3.0,March,11.0,95.0
2022-03-12,2022.0,3.0,March,12.0,47.0
2022-03-13,2022.0,3.0,March,13.0,38.0
2022-03-14,2022.0,3.0,March,14.0,94.0
2022-03-15,2022.0,3.0,March,15.0,84.0
2022-03-16,2022.0,3.0,March,16.0,40.0
2022-03-17,2022.0,3.0,March,17.0,10.0
2022-03-18,2022.0,3.0,March,18.0,62.0
2022-03-19,2022.0,3.0,March,19.0,98.0
2022-03-20,2022.0,3.0,March,20.0,89.0
2022-03-21,2022.0,3.0,March,21.0,31.0
2022-03-22,2022.0,3.0,March,22.0,59.0
2022-03-23,2022.0,3.0,March,23.0,68.0
2022-03-24,2022.0,3.0,March,24.0,95.0
2022-03-25,2022.0,3.0,March,25.0,97.0
2022-03-26,2022.0,3.0,March,26.0,91.0
2022-03-27,2022.0,3.0,March,27.0,89.0
2022-03-28,2022.0,3.0,March,28.0,57.0
2022-03-29,2022.0,3.0,March,29.0,87.0
2022-03-30,2022.0,3.0,March,30.0,34.0
2022-03-31,2022.0,3.0,March,31.0,87.0
2022-04-02,2022.0,4.0,April,2.0,35.0
2022-04-03,2022.0,4.0,April,3.0,25.0
2022-04-04,2022.0,4.0,April,4.0,66.0
2022-04-05,2022.0,4.0,April,5.0,53.0
2022-04-06,2022.0,4.0,April,6.0,21.0
2022-04-07,2022.0,4.0,April,7.0,12.0
2022-04-08,2022.0,4.0,April,8.0,77.0
2022-04-09,2022.0,4.0,April,9.0,31.0
2022-04-10,2022.0,4.0,April,10.0,71.0
2022-04-11,2022.0,4.0,April,11.0,49.0
2022-04-12,2022.0,4.0,April,12.0,99.0
2022-04-13,2022.0,4.0,April,13.0,7.0
2022-04-14,2022.0,4.0,April,14.0,15.0
2022-04-15,2022.0,4.0,April,15.0,99.0
2022-04-16,2022.0,4.0,April,16.0,86.0
2022-04-17,2022.0,4.0,April,17.0,69.0
2022-04-18,2022.0,4.0,April,18.0,92.0
2022-04-19,2022.0,4.0,April,19.0,61.0
2022-04-20,2022.0,4.0,April,20.0,52.0
2022-04-21,2022.0,4.0,April,21.0,68.0
2022-04-22,2022.0,4.0,April,22.0,83.0
2022-04-23,2022.0,4.0,April,23.0,67.0
2022-04-24,2022.0,4.0,April,24.0,13.0
2022-04-25,2022.0,4.0,April,25.0,77.0
2022-04-26,2022.0,4.0,April,26.0,15.0
2022-04-27,2022.0,4.0,April,27.0,68.0
2022-04-28,2022.0,4.0,April,28.0,48.0
2022-04-29,2022.0,4.0,April,29.0,80.0
2022-04-30,2022.0,4.0,April,30.0,91.0
2022-05-02,2022.0,5.0,May,2.0,35.0
2022-05-03,2022.0,5.0,May,3.0,28.0
2022-05-04,2022.0,5.0,May,4.0,97.0
2022-05-05,2022.0,5.0,May,5.0,25.0
2022-05-06,2022.0,5.0,May,6.0,13.0
2022-05-07,2022.0,5.0,May,7.0,24.0
2022-05-08,2022.0,5.0,May,8.0,22.0
2022-05-09,2022.0,5.0,May,9.0,24.0
2022-05-10,2022.0,5.0,May,10.0,1.0
2022-05-11,2022.0,5.0,May,11.0,70.0
2022-05-12,2022.0,5.0,May,12.0,92.0
2022-05-13,2022.0,5.0,May,13.0,84.0
2022-05-14,2022.0,5.0,May,14.0,98.0
2022-05-15,2022.0,5.0,May,15.0,3.0
2022-05-16,2022.0,5.0,May,16.0,75.0
2022-05-17,2022.0,5.0,May,17.0,43.0
2022-05-18,2022.0,5.0,May,18.0,7.0
2022-05-19,2022.0,5.0,May,19.0,52.0
2022-05-20,2022.0,5.0,May,20.0,17.0
2022-05-21,2022.0,5.0,May,21.0,50.0
2022-05-22,2022.0,5.0,May,22.0,34.0
2022-05-23,2022.0,5.0,May,23.0,92.0
2022-05-24,2022.0,5.0,May,24.0,5.0
2022-05-25,2022.0,5.0,May,25.0,31.0
2022-05-26,2022.0,5.0,May,26.0,43.0
2022-05-27,2022.0,5.0,May,27.0,83.0
2022-05-28,2022.0,5.0,May,28.0,35.0
2022-05-29,2022.0,5.0,May,29.0,70.0
2022-05-30,2022.0,5.0,May,30.0,95.0
2022-05-31,2022.0,5.0,May,31.0,89.0
2022-06-02,2022.0,6.0,June,2.0,98.0
2022-06-03,2022.0,6.0,June,3.0,79.0
2022-06-04,2022.0,6.0,June,4.0,1.0
2022-06-05,2022.0,6.0,June,5.0,46.0
2022-06-06,2022.0,6.0,June,6.0,5.0
2022-06-07,2022.0,6.0,June,7.0,79.0
2022-06-08,2022.0,6.0,June,8.0,37.0
2022-06-09,2022.0,6.0,June,9.0,7.0
2022-06-10,2022.0,6.0,June,10.0,47.0
2022-06-11,2022.0,6.0,June,11.0,78.0
2022-06-12,2022.0,6.0,June,12.0,21.0
2022-06-13,2022.0,6.0,June,13.0,17.0
2022-06-14,2022.0,6.0,June,14.0,65.0
2022-06-15,2022.0,6.0,June,15.0,13.0
2022-06-16,2022.0,6.0,June,16.0,71.0
2022-06-17,2022.0,6.0,June,17.0,60.0
2022-06-18,2022.0,6.0,June,18.0,21.0
2022-06-19,2022.0,6.0,June,19.0,24.0
2022-06-20,2022.0,6.0,June,20.0,35.0
2022-06-21,2022.0,6.0,June,21.0,61.0
2022-06-22,2022.0,6.0,June,22.0,85.0
2022-06-23,2022.0,6.0,June,23.0,79.0
2022-06-24,2022.0,6.0,June,24.0,84.0
2022-06-25,2022.0,6.0,June,25.0,73.0
2022-06-26,2022.0,6.0,June,26.0,79.0
2022-06-27,2022.0,6.0,June,27.0,1.0
2022-06-28,2022.0,6.0,June,28.0,51.0
2022-06-29,2022.0,6.0,June,29.0,80.0
2022-06-30,2022.0,6.0,June,30.0,45.0
2022-07-02,2022.0,7.0,July,2.0,28.0
2022-07-03,2022.0,7.0,July,3.0,95.0
2022-07-04,2022.0,7.0,July,4.0,75.0
2022-07-05,2022.0,7.0,July,5.0,65.0
2022-07-06,2022.0,7.0,July,6.0,61.0
2022-07-07,2022.0,7.0,July,7.0,47.0
2022-07-08,2022.0,7.0,July,8.0,69.0
2022-07-09,2022.0,7.0,July,9.0,96.0
2022-07-10,2022.0,7.0,July,10.0,41.0
2022-07-11,2022.0,7.0,July,11.0,96.0
2022-07-12,2022.0,7.0,July,12.0,63.0
2022-07-13,2022.0,7.0,July,13.0,69.0
2022-07-14,2022.0,7.0,July,14.0,28.0
2022-07-15,2022.0,7.0,July,15.0,50.0
2022-07-16,2022.0,7.0,July,16.0,60.0
2022-07-17,2022.0,7.0,July,17.0,83.0
2022-07-18,2022.0,7.0,July,18.0,42.0
2022-07-19,2022.0,7.0,July,19.0,27.0
2022-07-20,2022.0,7.0,July,20.0,41.0
2022-07-21,2022.0,7.0,July,21.0,59.0
2022-07-22,2022.0,7.0,July,22.0,93.0
2022-07-23,2022.0,7.0,July,23.0,45.0
2022-07-24,2022.0,7.0,July,24.0,89.0
2022-07-25,2022.0,7.0,July,25.0,46.0
2022-07-26,2022.0,7.0,July,26.0,87.0
2022-07-27,2022.0,7.0,July,27.0,80.0
2022-07-28,2022.0,7.0,July,28.0,3.0
2022-07-29,2022.0,7.0,July,29.0,41.0
2022-07-30,2022.0,7.0,July,30.0,62.0
2022-07-31,2022.0,7.0,July,31.0,48.0
2022-08-02,2022.0,8.0,August,2.0,48.0
2022-08-03,2022.0,8.0,August,3.0,46.0
2022-08-04,2022.0,8.0,August,4.0,30.0
2022-08-05,2022.0,8.0,August,5.0,73.0
2022-08-06,2022.0,8.0,August,6.0,18.0
2022-08-07,2022.0,8.0,August,7.0,93.0
2022-08-08,2022.0,8.0,August,8.0,32.0
2022-08-09,2022.0,8.0,August,9.0,69.0
2022-08-10,2022.0,8.0,August,10.0,20.0
2022-08-11,2022.0,8.0,August,11.0,82.0
2022-08-12,2022.0,8.0,August,12.0,13.0
2022-08-13,2022.0,8.0,August,13.0,82.0
2022-08-14,2022.0,8.0,August,14.0,27.0
2022-08-15,2022.0,8.0,August,15.0,78.0
2022-08-16,2022.0,8.0,August,16.0,52.0
2022-08-17,2022.0,8.0,August,17.0,93.0
2022-08-18,2022.0,8.0,August,18.0,76.0
2022-08-19,2022.0,8.0,August,19.0,9.0
